close_yf,Date
21730.099609375,2024-01-18
21916.0,2024-01-19
21506.80078125,2024-01-23
21746.0,2024-01-24
21666.5,2024-01-25
22041.599609375,2024-01-29
21846.19921875,2024-01-30
22051.55078125,2024-01-31
22039.599609375,2024-02-01
22199.0,2024-02-02
22113.400390625,2024-02-05
22299.30078125,2024-02-06
22363.69921875,2024-02-07
22202.75,2024-02-08
22247.55078125,2024-02-09
22042.099609375,2024-02-12
22181.599609375,2024-02-13
22313.400390625,2024-02-14
22405.55078125,2024-02-15
22540.900390625,2024-02-16
22685.650390625,2024-02-20
22547.599609375,2024-02-21
22725.400390625,2024-02-22
22734.30078125,2024-02-23
22667.75,2024-02-26
22722.30078125,2024-02-27
22457.650390625,2024-02-28
22526.30078125,2024-02-29
22862.05078125,2024-03-01
22944.80078125,2024-03-04
22900.650390625,2024-03-05
22988.349609375,2024-03-06
23036.05078125,2024-03-07
22895.44921875,2024-03-11
22840.900390625,2024-03-12
22399.0,2024-03-13
22623.69921875,2024-03-14
22494.69921875,2024-03-15
22541.150390625,2024-03-18
22274.650390625,2024-03-19
22307.75,2024-03-20
22538.900390625,2024-03-21
22633.80078125,2024-03-22
22601.349609375,2024-03-26
22698.5,2024-03-27
22920.69921875,2024-03-28
23107.150390625,2024-04-01
23138.55078125,2024-04-02
23136.599609375,2024-04-03
23206.0,2024-04-04
23240.55078125,2024-04-05
23380.30078125,2024-04-08
23348.900390625,2024-04-09
23474.69921875,2024-04-10
23254.900390625,2024-04-12
22967.099609375,2024-04-15
22870.30078125,2024-04-16
22740.19921875,2024-04-18
22859.80078125,2024-04-19
23078.900390625,2024-04-22
23116.0,2024-04-23
23167.80078125,2024-04-24
23329.80078125,2024-04-25
23232.099609375,2024-04-26
23443.80078125,2024-04-29
23436.5,2024-04-30
23541.30078125,2024-05-02
23382.75,2024-05-03
23297.75,2024-05-06
23103.75,2024-05-07
23166.0,2024-05-08
22790.19921875,2024-05-09
22909.099609375,2024-05-10
22956.349609375,2024-05-13
23118.19921875,2024-05-14
23133.849609375,2024-05-15
23343.55078125,2024-05-16
23444.30078125,2024-05-17
23569.900390625,2024-05-21
23633.900390625,2024-05-22
23982.349609375,2024-05-23
23980.099609375,2024-05-24
23959.849609375,2024-05-27
