date,nav
06-08-2012,5166.25
03-08-2012,5106.20
02-08-2012,5119.45
01-08-2012,5125.80
31-07-2012,5112.25
30-07-2012,5084.15
27-07-2012,4986.20
26-07-2012,4941.30
25-07-2012,5009.00
24-07-2012,5029.15
23-07-2012,5016.30
20-07-2012,5099.70
19-07-2012,5131.10
18-07-2012,5107.60
17-07-2012,5088.40
16-07-2012,5096.05
13-07-2012,5122.90
12-07-2012,5132.60
11-07-2012,5196.00
10-07-2012,5231.25
09-07-2012,5165.20
06-07-2012,5208.75
05-07-2012,5222.05
04-07-2012,5196.85
03-07-2012,5180.90
02-07-2012,5163.70
29-06-2012,5159.15
28-06-2012,5034.95
27-06-2012,5027.15
26-06-2012,5006.75
25-06-2012,4995.75
22-06-2012,5024.35
21-06-2012,5041.50
20-06-2012,4996.75
19-06-2012,4975.75
18-06-2012,4940.70
15-06-2012,5014.00
14-06-2012,4937.35
13-06-2012,5003.45
12-06-2012,4997.35
11-06-2012,4939.35
08-06-2012,4956.10
07-06-2012,4937.40
06-06-2012,4887.20
05-06-2012,4760.90
04-06-2012,4746.95
01-06-2012,4745.40
31-05-2012,4823.45
30-05-2012,4841.20
29-05-2012,4883.40
28-05-2012,4881.05
25-05-2012,4816.85
24-05-2012,4813.30
23-05-2012,4736.45
22-05-2012,4762.90
21-05-2012,4807.75
18-05-2012,4789.65
17-05-2012,4773.45
16-05-2012,4763.45
15-05-2012,4846.30
14-05-2012,4814.40
11-05-2012,4835.05
10-05-2012,4872.55
09-05-2012,4878.65
08-05-2012,4910.95
07-05-2012,5019.40
04-05-2012,4988.05
03-05-2012,5082.60
02-05-2012,5135.05
30-04-2012,5143.35
28-04-2012,5104.60
27-04-2012,5086.10
26-04-2012,5088.35
25-04-2012,5104.25
24-04-2012,5123.70
23-04-2012,5109.30
20-04-2012,5197.00
19-04-2012,5236.00
18-04-2012,5211.70
17-04-2012,5204.50
16-04-2012,5145.05
13-04-2012,5124.95
12-04-2012,5187.45
11-04-2012,5141.15
10-04-2012,5160.65
09-04-2012,5152.05
04-04-2012,5238.65
03-04-2012,5269.55
02-04-2012,5225.30
30-03-2012,5200.15
29-03-2012,5081.25
28-03-2012,5089.15
27-03-2012,5138.10
26-03-2012,5084.10
23-03-2012,5173.70
22-03-2012,5124.50
21-03-2012,5260.05
20-03-2012,5168.15
19-03-2012,5146.30
16-03-2012,5208.60
15-03-2012,5270.80
14-03-2012,5356.30
13-03-2012,5319.55
12-03-2012,5254.55
09-03-2012,5224.70
07-03-2012,5110.35
06-03-2012,5116.70
05-03-2012,5170.35
03-03-2012,5247.15
02-03-2012,5246.80
